순위	단어	품사	풀이	등급
1195	가게	명		A
648	가깝다	형		A
852	가끔	부		A
25	가다01	동		A
150	가다01	보		A
698	가르치다01	동		A
1530	가방01	명	~을 메다	A
1189	가볍다	형		A
2000	가수11	명	歌手	A
384	가슴01	명		A
264	가운데	명		A
1268	가을01	명		A
127	가장01	부		A
1060	가져오다	동		A
409	가족01	명	家族	A
94	가지다	동		A
514	가지다	보		A
7438	간호사	명	看護師	A
12246	갈비01	명		A
3343	감기04	명	感氣	A
6352	감사08	명	感謝	A
3847	감사하다05	형	感謝-	A
4966	감사하다05	동	感謝-	A
475	갑자기	부		A
788	값	명		A
1812	강01	명	江	A
22	같다	형		A
203	같이	부		A
1569	개03	명	동물	A
85	개10	의	個	A
799	개월	의	個月	A
3102	거01	대	것	A
20	거01	의	것	A
293	거기01	대		A
1258	거리01	명	길~	A
2109	거울01	명		A
1129	걱정	명		A
2491	걱정하다	동		A
647	건강03	명	健康	A
1297	건강하다02	형	健康-	A
649	건물03	명	建物	A
546	걷다02	동	느릿느릿 ~	A
716	걸다02	동	옷을 ~	A
1970	걸어가다	동		A
4041	걸어오다01	동	집까지 ~	A
3064	검은색	명	-色	A
1	것01	의		A
877	게임	명	game	A
920	겨울	명		A
601	결혼	명	結婚	A
3389	결혼식	명	結婚式	A
1130	결혼하다	동	結婚-	A
	경복궁	고	景福宮	A
	경주	고	慶州	A
632	경찰04	명	警察	A
2329	경찰관	명	警察官	A
3214	경찰서	명	警察署	A
5452	경치02	명	景致	A
6951	계란	명	鷄卵	A
405	계속04	부	繼續	A
1432	계시다	보		A
1163	계시다	동		A
2520	계절01	명	季節	A
400	계획01	명	計劃	A
1055	고기01	명		A
1337	고등학교	명	高等學校	A
7445	고등학생	명	高等學生	A
857	고맙다01	형		A
1987	고양이	명		A
5860	고프다	형		A
593	고향02	명	故鄕	A
307	곧01	부		A
116	곳01	명		A
988	공01	명	축구~	A
490	공부01	명	工夫	A
807	공부하다	동	工夫-	A
2950	공원03	명	公園	A
8672	공중전화	명	公衆電話	A
5179	공책01	명	空冊	A
2433	공항02	명	空港	A
9466	공휴일	명	公休日	A
996	과10	명	課	A
1491	과일01	명		A
4402	과자02	명	菓子	A
813	괜찮다	형		A
2887	교과서	명	敎科書	A
371	교수06	명	敎授	A
1339	교실	명	敎室	A
1249	교통01	명	交通	A
1708	교회02	명	敎會	A
10999	구01	수	九	A
2705	구경01	명		A
3217	구두01	명		A
2493	구름01	명		A
	구십	수	九十	A
1076	구월02	명	九月	A
2434	군인	명	軍人	A
1672	권01	의	卷	A
840	귀01	명		A
15	그01	대		A
9	그01	관		A
1164	그02	감		A
139	그거	대		A
48	그것	대		A
860	그곳	대		A
672	그날	명		A
473	그동안	명		A
187	그때	명		A
330	그래01	감		A
1229	그래03	불	그리하여	A
134	그래서	부		A
9061	그래서	불	그리하여서	A
34	그러나	부		A
785	그러니까	부		A
636	그러면	부		A
142	그런데	부		A
457	그럼01	부	'그러면'의 준말	A
2736	그럼02	감		A
38	그렇다	형		A
1120	그렇지만	부		A
1563	그릇01	명		A
52	그리고	부		A
439	그리다02	동	그림을 ~	A
362	그림01	명		A
2706	그분	대		A
3027	그쪽	대		A
2331	극장	명	劇場	A
1151	근처	명	近處	A
7714	금요일	명	金曜日	A
1289	급04	명	級	A
298	기다리다	동		A
525	기분01	명	氣分	A
4776	기숙사	명	寄宿舍	A
2919	기차01	명	汽車	A
173	길01	명	도로	A
386	길다02	형	밤이 ~	A
7720	김밥	명		A
2207	김치01	명		A
2465	깎다	동		A
1471	깨끗하다	형		A
397	꼭03	부	반드시	A
470	꽃01	명		A
535	꿈01	명		A
2495	끄다01	동	불을 ~	A
333	끝01	명		A
376	끝나다	동		A
1452	끝내다	동		A
8	나03	대		A
196	나가다	동		A
368	나가다	보		A
104	나다01	동		A
226	나라01	명		A
540	나무01	명		A
873	나쁘다01	형		A
50	나오다	동		A
429	나이01	명		A
1018	나중01	명		A
143	날01	명	어느 ~	A
2230	날다01	동		A
1291	날씨01	명		A
2994	날짜01	명		A
1068	남녀	명	男女	A
	남대문	고	南大門	A
	남대문시장	고	南大門市場	A
9077	남동생	명	男-	A
154	남자02	명	男子	A
1598	남쪽	명	南-	A
255	남편01	명	男便	A
5594	남학생	명	男學生	A
1184	낮	명		A
974	낮다	형		A
1941	내년	명	來年	A
182	내다02	보	참아 ~	A
167	내다02	동	길을 ~	A
1041	내려가다	동		A
894	내려오다	동		A
243	내리다01	동	눈이 ~	A
3520	내일	부	來日	A
1270	내일	명	來日	A
13192	냉면	명	冷麵	A
3311	냉장고	명	冷藏庫	A
100	너01	대		A
225	너무01	부		A
638	넓다	형		A
219	넣다	동		A
1304	네02	관		A
357	네03	감		A
6766	넥타이	명	necktie	A
6980	넷01	수		A
10452	넷째	관		A
6198	넷째	수		A
26	년02	의	年	A
8329	노란색	명	-色	A
487	노래01	명		A
3398	노래하다	동		A
8031	노트02	명	note	A
418	놀다01	동		A
594	놀라다	동		A
277	높다	형		A
151	놓다01	보		A
415	놓다01	동		A
114	누구	대		A
1140	누나01	명		A
107	눈01	명	신체의 일부	A
1505	눈04	명	~이 내리다	A
814	눈물01	명		A
914	뉴스	명	news	A
3630	늦다	동		A
949	늦다	형		A
89	다03	부		A
4266	다03	명		A
1876	다녀오다	동		A
284	다니다	동		A
163	다르다01	형		A
82	다른	관		A
747	다리01	명	신체의 일부	A
2466	다리02	명	교량	A
7476	다섯	수		A
20314	다섯째	관		A
15360	다섯째	수		A
81	다시01	부		A
112	다음01	명		A
810	닦다01	동		A
2192	단어	명	單語	A
1959	닫다02	동		A
1115	달05	명		A
620	달05	의		A
4881	달다07	형	맛	A
8336	달러	명	dollar	A
763	달러	의	dollar	A
5088	달력	명	-曆	A
2857	닭	명		A
7478	닭고기	명		A
679	담배	명		A
1453	대답	명	對答	A
1096	대답하다	동	對答-	A
5883	대사관	명	大使館	A
261	대학01	명	大學	A
4416	대학교	명	大學校	A
1944	대학생	명	大學生	A
699	대화06	명	對話	A
1867	댁01	명	宅	A
46	더01	부		A
2678	덥다01	형		A
1732	도서관	명	圖書館	A
423	도시03	명	都市	A
2194	도와주다	동		A
9103	도착01	명	到着	A
1305	도착하다01	동	到着-	A
	독일	고	獨逸	A
140	돈01	명		A
519	돌아가다	동		A
377	돌아오다	동		A
1109	돕다	동		A
1294	동물	명	動物	A
602	동생01	명		A
214	동안01	명	시간의 길이	A
2569	동쪽	명	東-	A
2893	돼지	명		A
4418	돼지고기	명		A
5	되다01	동	어른이 ~	A
63	두01	관		A
575	둘01	수		A
1660	둘째	수		A
2679	둘째	관		A
87	뒤01	명		A
1460	드리다01	동	인사를 ~	A
830	드리다01	보	도와 ~	A
88	듣다01	동	소리를 ~	A
91	들다01	동	여관에 ~	A
130	들다04	동	꽃을 ~	A
158	들어가다01	동		A
256	들어오다	동		A
4996	등산	명	登山	A
1312	따뜻하다	형		A
625	딸01	명		A
8053	딸기	명		A
19	때01	명	시간	A
31	때문	의		A
327	떠나다	동		A
1443	떡01	명		A
40	또	부		A
1376	똑같다	형		A
5201	똑바로	부		A
1852	뛰다01	동	심장이 ~	A
1626	뛰다02	동	빨리 나아가다	A
1178	뜨겁다	형		A
1571	라디오	명	radio	A
2623	라면01	명	&일ramen	A
	러시아	고	Russia	A
1168	마리01	의		A
